HeatFlux,South,North
0.929,1,0.319
0.49,0.194,0.302
0.849,0.499,0.262
0.59,0.628,0.604
0.506,0.078,0.558
0.721,0.215,0.245
0.786,0.264,0.211
0.848,0.346,0.148
0.874,0.465,0.111
0.595,0.224,0.248
0.787,0.331,0.179
0.783,0.388,0.108
0.883,0.535,0.142
0.88,0.661,0.185
0.803,0.695,0.308
0.606,0.674,0.521
0.47,0.592,0.735
0.149,0.565,0.852
1,0.319,0
0.934,0.409,0.046
0.884,0.473,0.259
0.751,0.507,0.593
0.444,0.517,0.735
0,0.466,1
0.473,0,0.276
0.742,0.152,0.137
0.838,0.228,0.1
0.867,0.35,0.083
0.847,0.509,0.333
